NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
246,GPT22GT3150-A,,1,20.25,,,,,,,,,,,
247,GPT24GT3150-A,,1,22.16,,,,,,,,,,,
248,GPT25GT3150-A,,1,23.11,,,,,,,,,,,
249,GPT26GT3150-A,,1,24.07,,,,,,,,,,,
250,GPT28GT3150-A,,1,25.98,,,,,,,,,,,
251,GPT30GT3150-A,,1,27.89,,,,,,,,,,,
252,GPT32GT3150-A,,1,29.8,,,,,,,,,,,
253,GPT34GT3150-A,,1,31.71,,,,,,,,,,,
254,GPT36GT3150-A,,1,33.62,,,,,,,,,,,
255,GPT40GT3150-A,,1,37.44,,,,,,,,,,,
256,GPT44GT3150-A,,1,41.26,,,,,,,,,,,
257,GPT48GT3150-A,,1,45.08,,,,,,,,,,,
258,GPT50GT3150-A,,1,46.99,,,,,,,,,,,
259,GPT60GT3150-A,,1,56.54,,,,,,,,,,,
260,GPT22GT3060-B,,1,20.25,,,,,,,,,,,
261,GPT24GT3060-B,,1,22.16,,,,,,,,,,,
262,GPT25GT3060-B,,1,23.11,,,,,,,,,,,
263,GPT26GT3060-B,,1,24.07,,,,,,,,,,,
264,GPT28GT3060-B,,1,25.98,,,,,,,,,,,
265,GPT30GT3060-B,,1,27.89,,,,,,,,,,,
266,GPT32GT3060-B,,1,29.8,,,,,,,,,,,
267,GPT34GT3060-B,,1,31.71,,,,,,,,,,,
268,GPT36GT3060-B,,1,33.62,,,,,,,,,,,
269,GPT40GT3060-B,,1,37.44,,,,,,,,,,,
270,GPT44GT3060-B,,1,41.26,,,,,,,,,,,
271,GPT48GT3060-B,,1,45.08,,,,,,,,,,,
272,GPT50GT3060-B,,1,46.99,,,,,,,,,,,
273,GPT60GT3060-B,,1,56.54,,,,,,,,,,,
274,GPT22GT3090-B,,1,20.25,,,,,,,,,,,
275,GPT24GT3090-B,,1,22.16,,,,,,,,,,,
276,GPT25GT3090-B,,1,23.11,,,,,,,,,,,
277,GPT26GT3090-B,,1,24.07,,,,,,,,,,,
278,GPT28GT3090-B,,1,25.98,,,,,,,,,,,
279,GPT30GT3090-B,,1,27.89,,,,,,,,,,,
280,GPT32GT3090-B,,1,29.8,,,,,,,,,,,
281,GPT34GT3090-B,,1,31.71,,,,,,,,,,,
282,GPT36GT3090-B,,1,33.62,,,,,,,,,,,
283,GPT40GT3090-B,,1,37.44,,,,,,,,,,,
284,GPT44GT3090-B,,1,41.26,,,,,,,,,,,
285,GPT48GT3090-B,,1,45.08,,,,,,,,,,,
286,GPT50GT3090-B,,1,46.99,,,,,,,,,,,
287,GPT60GT3090-B,,1,56.54,,,,,,,,,,,
288,GPT22GT3150-B,,1,20.25,,,,,,,,,,,
289,GPT24GT3150-B,,1,22.16,,,,,,,,,,,
290,GPT25GT3150-B,,1,23.11,,,,,,,,,,,
291,GPT26GT3150-B,,1,24.07,,,,,,,,,,,
292,GPT28GT3150-B,,1,25.98,,,,,,,,,,,
293,GPT30GT3150-B,,1,27.89,,,,,,,,,,,
294,GPT32GT3150-B,,1,29.8,,,,,,,,,,,
