NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602
38328,GPK45MR3090-A,test1-0.jpg,1,42.21,45,45,1.166,,
38329,GPK48MR3090-A,test1-0.jpg,1,45.08,48,45,1.166,,
38330,GPK50MR3090-A,test1-0.jpg,1,46.99,50,45,1.166,,
38331,GPK56MR3090-A,test1-0.jpg,1,52.72,56,45,1.166,,
38332,GPK60MR3090-A,test1-0.jpg,1,56.54,60,46,1.189,,
38333,GPK62MR3090-A,test1-0.jpg,1,58.45,62,46,1.189,,
38334,GPK68MR3090-A,test1-0.jpg,1,64.18,68,46,1.189,,
38335,GPK72MR3090-A,test1-0.jpg,1,67.99,72,46,1.189,,
38336,GPK16MR3150-K,test1-2.jpg,1,14.52,16,44,1.143,,
38337,GPK17MR3150-K,test1-2.jpg,1,15.47,17,44,1.143,,
38338,GPK18MR3150-K,test1-2.jpg,1,16.43,18,44,1.143,,
38339,GPK19MR3150-K,test1-2.jpg,1,17.38,19,44,1.143,,
38340,GPK20MR3150-K,test1-2.jpg,1,18.34,20,44,1.143,,
38341,GPK21MR3150-K,test1-2.jpg,1,19.29,21,44,1.143,,
38342,GPK22MR3150-K,test1-2.jpg,1,20.25,22,44,1.143,,
38343,GPK24MR3150-B,test1-1.jpg,1,22.16,24,44,1.143,,
38344,GPK25MR3150-B,test1-1.jpg,1,23.11,25,44,1.143,,
38345,GPK26MR3150-B,test1-1.jpg,1,24.07,26,44,1.143,,
38346,GPK28MR3150-B,test1-1.jpg,1,25.98,28,45,1.166,,
38347,GPK30MR3150-B,test1-1.jpg,1,27.89,30,45,1.166,,
38348,GPK32MR3150-B,test1-1.jpg,1,29.8,32,45,1.166,,
38349,GPK34MR3150-B,test1-1.jpg,1,31.71,34,45,1.166,,
38350,GPK36MR3150-B,test1-1.jpg,1,33.62,36,45,1.166,,
38351,GPK38MR3150-B,test1-1.jpg,1,35.53,40,45,1.166,,
38352,GPK40MR3150-B,test1-1.jpg,1,37.44,42,45,1.166,,
38353,GPK44MR3150-B,test1-1.jpg,1,41.26,44,45,1.166,,
38354,GPK45MR3150-B,test1-1.jpg,1,42.21,45,45,1.166,,
38355,GPK48MR3150-B,test1-1.jpg,1,45.08,48,45,1.166,,
38356,GPK50MR3150-B,test1-1.jpg,1,46.99,50,45,1.166,,
