NO,TYPE,DEFINE1,DEFINE2
425,GPA32GT5120-A,,
426,GPA34GT5120-A,,
427,GPA36GT5120-A,,
428,GPA40GT5120-A,,
429,GPA44GT5120-A,,
430,GPA48GT5120-A,,
431,GPA50GT5120-A,,
432,GPA60GT5120-A,,
433,GPA14GT5150-A,,
434,GPA15GT5150-A,,
435,GPA16GT5150-A,,
436,GPA18GT5150-A,,
437,GPA20GT5150-A,,
438,GPA22GT5150-A,,
439,GPA24GT5150-A,,
440,GPA25GT5150-A,,
441,GPA26GT5150-A,,
442,GPA28GT5150-A,,
443,GPA30GT5150-A,,
444,GPA32GT5150-A,,
445,GPA34GT5150-A,,
446,GPA36GT5150-A,,
447,GPA40GT5150-A,,
448,GPA44GT5150-A,,
449,GPA48GT5150-A,,
450,GPA50GT5150-A,,
451,GPA60GT5150-A,,
452,GPA14GT5090-B,,
453,GPA15GT5090-B,,
454,GPA16GT5090-B,,
455,GPA18GT5090-B,,
456,GPA20GT5090-B,,
457,GPA22GT5090-B,,
458,GPA24GT5090-B,,
459,GPA25GT5090-B,,
460,GPA26GT5090-B,,
461,GPA28GT5090-B,,
462,GPA30GT5090-B,,
463,GPA32GT5090-B,,
464,GPA34GT5090-B,,
465,GPA36GT5090-B,,
466,GPA40GT5090-B,,
467,GPA44GT5090-B,,
468,GPA48GT5090-B,,
469,GPA50GT5090-B,,
470,GPA60GT5090-B,,
471,GPA14GT5120-B,,
472,GPA15GT5120-B,,
473,GPA16GT5120-B,,
474,GPA18GT5120-B,,
475,GPA20GT5120-B,,
476,GPA22GT5120-B,,
477,GPA24GT5120-B,,
478,GPA25GT5120-B,,
479,GPA26GT5120-B,,
480,GPA28GT5120-B,,
481,GPA30GT5120-B,,
482,GPA32GT5120-B,,
483,GPA34GT5120-B,,
484,GPA36GT5120-B,,
485,GPA40GT5120-B,,
486,GPA44GT5120-B,,
487,GPA48GT5120-B,,
488,GPA50GT5120-B,,
489,GPA60GT5120-B,,
490,GPA14GT5150-B,,
491,GPA15GT5150-B,,
492,GPA16GT5150-B,,
493,GPA18GT5150-B,,
494,GPA20GT5150-B,,
495,GPA22GT5150-B,,
496,GPA24GT5150-B,,
497,GPA25GT5150-B,,
498,GPA26GT5150-B,,
499,GPA28GT5150-B,,
500,GPA30GT5150-B,,
501,GPA32GT5150-B,,
502,GPA34GT5150-B,,
503,GPA36GT5150-B,,
504,GPA40GT5150-B,,
505,GPA44GT5150-B,,
506,GPA48GT5150-B,,
507,GPA50GT5150-B,,
508,GPA60GT5150-B,,
509,GPT14GT5090-A,,
510,GPT15GT5090-A,,
511,GPT16GT5090-A,,
512,GPT18GT5090-A,,
513,GPT20GT5090-A,,
514,GPT22GT5090-A,,
515,GPT24GT5090-A,,
516,GPT25GT5090-A,,
517,GPT26GT5090-A,,
518,GPT28GT5090-A,,
519,GPT30GT5090-A,,
520,GPT32GT5090-A,,
521,GPT34GT5090-A,,
522,GPT36GT5090-A,,
523,GPT40GT5090-A,,
524,GPT44GT5090-A,,
525,GPT48GT5090-A,,
526,GPT50GT5090-A,,
527,GPT60GT5090-A,,
528,GPT14GT5120-A,,
529,GPT15GT5120-A,,
530,GPT16GT5120-A,,
531,GPT18GT5120-A,,
532,GPT20GT5120-A,,
533,GPT22GT5120-A,,
534,GPT24GT5120-A,,
535,GPT25GT5120-A,,
536,GPT26GT5120-A,,
537,GPT28GT5120-A,,
538,GPT30GT5120-A,,
539,GPT32GT5120-A,,
540,GPT34GT5120-A,,
541,GPT36GT5120-A,,
542,GPT40GT5120-A,,
543,GPT44GT5120-A,,
544,GPT48GT5120-A,,
545,GPT50GT5120-A,,
546,GPT60GT5120-A,,
547,GPT14GT5150-A,,
548,GPT15GT5150-A,,
549,GPT16GT5150-A,,
550,GPT18GT5150-A,,
551,GPT20GT5150-A,,
552,GPT22GT5150-A,,
553,GPT24GT5150-A,,
554,GPT25GT5150-A,,
555,GPT26GT5150-A,,
556,GPT28GT5150-A,,
557,GPT30GT5150-A,,
558,GPT32GT5150-A,,
559,GPT34GT5150-A,,
560,GPT36GT5150-A,,
561,GPT40GT5150-A,,
562,GPT44GT5150-A,,
563,GPT48GT5150-A,,
564,GPT50GT5150-A,,
565,GPT60GT5150-A,,
566,GPT14GT5090-B,,
567,GPT15GT5090-B,,
568,GPT16GT5090-B,,
569,GPT18GT5090-B,,
570,GPT20GT5090-B,,
571,GPT22GT5090-B,,
572,GPT24GT5090-B,,
573,GPT25GT5090-B,,
574,GPT26GT5090-B,,
575,GPT28GT5090-B,,
576,GPT30GT5090-B,,
577,GPT32GT5090-B,,
578,GPT34GT5090-B,,
579,GPT36GT5090-B,,
580,GPT40GT5090-B,,
581,GPT44GT5090-B,,
582,GPT48GT5090-B,,
583,GPT50GT5090-B,,
584,GPT60GT5090-B,,
585,GPT14GT5120-B,,
586,GPT15GT5120-B,,
587,GPT16GT5120-B,,
588,GPT18GT5120-B,,
589,GPT20GT5120-B,,
590,GPT22GT5120-B,,
591,GPT24GT5120-B,,
592,GPT25GT5120-B,,
593,GPT26GT5120-B,,
594,GPT28GT5120-B,,
595,GPT30GT5120-B,,
596,GPT32GT5120-B,,
597,GPT34GT5120-B,,
598,GPT36GT5120-B,,
599,GPT40GT5120-B,,
600,GPT44GT5120-B,,
601,GPT48GT5120-B,,
602,GPT50GT5120-B,,
603,GPT60GT5120-B,,
604,GPT14GT5150-B,,
605,GPT15GT5150-B,,
606,GPT16GT5150-B,,
607,GPT18GT5150-B,,
608,GPT20GT5150-B,,
609,GPT22GT5150-B,,
610,GPT24GT5150-B,,
611,GPT25GT5150-B,,
612,GPT26GT5150-B,,
613,GPT28GT5150-B,,
614,GPT30GT5150-B,,
615,GPT32GT5150-B,,
616,GPT34GT5150-B,,
617,GPT36GT5150-B,,
618,GPT40GT5150-B,,
619,GPT44GT5150-B,,
620,GPT48GT5150-B,,
621,GPT50GT5150-B,,
622,GPT60GT5150-B,,
623,GPM14GT5090-A,,
624,GPM15GT5090-A,,
625,GPM16GT5090-A,,
626,GPM18GT5090-A,,
627,GPM20GT5090-A,,
628,GPM22GT5090-A,,
629,GPM24GT5090-A,,
630,GPM25GT5090-A,,
631,GPM26GT5090-A,,
632,GPM28GT5090-A,,
633,GPM30GT5090-A,,
634,GPM32GT5090-A,,
635,GPM34GT5090-A,,
636,GPM36GT5090-A,,
637,GPM40GT5090-A,,
638,GPM44GT5090-A,,
639,GPM48GT5090-A,,
640,GPM50GT5090-A,,
641,GPM60GT5090-A,,
642,GPM14GT5120-A,,
643,GPM15GT5120-A,,
644,GPM16GT5120-A,,
645,GPM18GT5120-A,,
646,GPM20GT5120-A,,
647,GPM22GT5120-A,,
648,GPM24GT5120-A,,
649,GPM25GT5120-A,,
650,GPM26GT5120-A,,
651,GPM28GT5120-A,,
652,GPM30GT5120-A,,
653,GPM32GT5120-A,,
654,GPM34GT5120-A,,
655,GPM36GT5120-A,,
656,GPM40GT5120-A,,
657,GPM44GT5120-A,,
658,GPM48GT5120-A,,
659,GPM50GT5120-A,,
660,GPM60GT5120-A,,
661,GPM14GT5150-A,,
662,GPM15GT5150-A,,
663,GPM16GT5150-A,,
664,GPM18GT5150-A,,
665,GPM20GT5150-A,,
666,GPM22GT5150-A,,
667,GPM24GT5150-A,,
668,GPM25GT5150-A,,
669,GPM26GT5150-A,,
670,GPM28GT5150-A,,
671,GPM30GT5150-A,,
672,GPM32GT5150-A,,
673,GPM34GT5150-A,,
674,GPM36GT5150-A,,
675,GPM40GT5150-A,,
676,GPM44GT5150-A,,
677,GPM48GT5150-A,,
678,GPM50GT5150-A,,
679,GPM60GT5150-A,,
680,GPM14GT5090-B,,
681,GPM15GT5090-B,,
682,GPM16GT5090-B,,
683,GPM18GT5090-B,,
684,GPM20GT5090-B,,
685,GPM22GT5090-B,,
686,GPM24GT5090-B,,
687,GPM25GT5090-B,,
688,GPM26GT5090-B,,
689,GPM28GT5090-B,,
690,GPM30GT5090-B,,
691,GPM32GT5090-B,,
692,GPM34GT5090-B,,
693,GPM36GT5090-B,,
694,GPM40GT5090-B,,
695,GPM44GT5090-B,,
696,GPM48GT5090-B,,
697,GPM50GT5090-B,,
698,GPM60GT5090-B,,
699,GPM14GT5120-B,,
700,GPM15GT5120-B,,
701,GPM16GT5120-B,,
702,GPM18GT5120-B,,
703,GPM20GT5120-B,,
704,GPM22GT5120-B,,
705,GPM24GT5120-B,,
706,GPM25GT5120-B,,
707,GPM26GT5120-B,,
708,GPM28GT5120-B,,
709,GPM30GT5120-B,,
710,GPM32GT5120-B,,
711,GPM34GT5120-B,,
712,GPM36GT5120-B,,
713,GPM40GT5120-B,,
714,GPM44GT5120-B,,
715,GPM48GT5120-B,,
716,GPM50GT5120-B,,
717,GPM60GT5120-B,,
718,GPM14GT5150-B,,
719,GPM15GT5150-B,,
720,GPM16GT5150-B,,
721,GPM18GT5150-B,,
722,GPM20GT5150-B,,
723,GPM22GT5150-B,,
724,GPM24GT5150-B,,
725,GPM25GT5150-B,,
726,GPM26GT5150-B,,
727,GPM28GT5150-B,,
728,GPM30GT5150-B,,
729,GPM32GT5150-B,,
730,GPM34GT5150-B,,
731,GPM36GT5150-B,,
732,GPM40GT5150-B,,
733,GPM44GT5150-B,,
734,GPM48GT5150-B,,
735,GPM50GT5150-B,,
736,GPM60GT5150-B,,
737,GPA20YU8150-A,,
738,GPA22YU8150-A,,
739,GPA24YU8150-A,,
740,GPA25YU8150-A,,
741,GPA26YU8150-A,,
742,GPA28YU8150-A,,
743,GPA30YU8150-A,,
744,GPA32YU8150-A,,
745,GPA34YU8150-A,,
746,GPA36YU8150-A,,
747,GPA38YU8150-A,,
748,GPA40YU8150-A,,
749,GPA44YU8150-A,,
750,GPA48YU8150-A,,
751,GPA50YU8150-A,,
752,GPA60YU8150-A,,
753,GPA20YU8200-A,,
754,GPA22YU8200-A,,
755,GPA24YU8200-A,,
756,GPA25YU8200-A,,
757,GPA26YU8200-A,,
758,GPA28YU8200-A,,
759,GPA30YU8200-A,,
760,GPA32YU8200-A,,
761,GPA34YU8200-A,,
762,GPA36YU8200-A,,
763,GPA38YU8200-A,,
764,GPA40YU8200-A,,
765,GPA44YU8200-A,,
766,GPA48YU8200-A,,
767,GPA50YU8200-A,,
768,GPA60YU8200-A,,
769,GPA20YU8250-A,,
770,GPA22YU8250-A,,
771,GPA24YU8250-A,,
772,GPA25YU8250-A,,
773,GPA26YU8250-A,,
774,GPA28YU8250-A,,
775,GPA30YU8250-A,,
776,GPA32YU8250-A,,
777,GPA34YU8250-A,,
778,GPA36YU8250-A,,
